model,flip_frac,acc,prec,rec
DecisionTree,0.0,0.9945,0.9942446043165467,0.9899713467048711
DecisionTree,0.1,0.8745,0.7944664031620553,0.8638968481375359
DecisionTree,0.2,0.7765,0.6539877300613497,0.7636103151862464
DecisionTree,0.3,0.672,0.5237020316027088,0.664756446991404
DecisionTree,0.4,0.5875,0.4339229968782518,0.5974212034383954
KNN,0.0,0.961,0.9441260744985673,0.9441260744985673
KNN,0.1,0.954,0.9267605633802817,0.9426934097421203
KNN,0.2,0.895,0.8253333333333334,0.8868194842406877
KNN,0.3,0.8255,0.7194968553459119,0.8194842406876791
KNN,0.4,0.6615,0.5119726339794755,0.6432664756446992
LinearSVM,0.0,0.9845,0.9730496453900709,0.9828080229226361
LinearSVM,0.1,0.9535,0.9481481481481482,0.9169054441260746
LinearSVM,0.2,0.9505,0.9410898379970545,0.9154727793696275
LinearSVM,0.3,0.9415,0.9303703703703704,0.8997134670487106
LinearSVM,0.4,0.9255,0.8817802503477051,0.9083094555873925
LogisticRegression,0.0,0.9865,0.9772403982930299,0.9842406876790831
LogisticRegression,0.1,0.9595,0.9530102790014684,0.9297994269340975
LogisticRegression,0.2,0.9575,0.9474452554744526,0.9297994269340975
LogisticRegression,0.3,0.9435,0.930780559646539,0.9054441260744985
LogisticRegression,0.4,0.9215,0.8762169680111266,0.9025787965616046
MLP,0.0,0.988,0.9814285714285714,0.9842406876790831
MLP,0.1,0.983,0.9756446991404012,0.9756446991404012
MLP,0.2,0.9675,0.9633967789165446,0.9426934097421203
MLP,0.3,0.96,0.9401709401709402,0.9455587392550143
MLP,0.4,0.928,0.8743243243243243,0.9269340974212035
Perceptron,0.0,0.9805,0.9741007194244604,0.9699140401146131
Perceptron,0.1,0.851,0.7169197396963124,0.9469914040114613
Perceptron,0.2,0.742,0.5986984815618221,0.7908309455587392
Perceptron,0.3,0.5125,0.38928856914468424,0.6977077363896849
Perceptron,0.4,0.468,0.37273991655076494,0.7679083094555874
RandomForest,0.0,0.9915,0.9829787234042553,0.9928366762177651
RandomForest,0.1,0.9585,0.9195088676671214,0.9656160458452722
RandomForest,0.2,0.911,0.8225806451612904,0.9498567335243553
RandomForest,0.3,0.824,0.6917960088691796,0.8939828080229226
RandomForest,0.4,0.671,0.5209205020920502,0.7134670487106017
SGD,0.0,0.985,0.9691011235955056,0.9885386819484241
SGD,0.1,0.9395,0.8781127129750983,0.9598853868194842
SGD,0.2,0.9315,0.8945147679324894,0.9111747851002865
SGD,0.3,0.861,0.8697183098591549,0.7077363896848138
SGD,0.4,0.8285,0.7576197387518142,0.7478510028653295
